name,sku,active,region_id,platforms,platform_family,release_date,last_update_date,top_category,subscribers_count,float_price,is_lowest_price,id,url,cover,flags,retail_products,trophies.platinum,last_update.end_date,last_update.discount_percent,last_update.price,last_update.price_plus,last_update.price_old,user.subscribed,user.owns,user.ownership_types.1,user.ownership_types.2,user.ownership_types.3,user.ownership_types.4,user.ownership_types.5,user.liked,user.hid,scores.metacritic.score,scores.metacritic.id,scores.opencritic.score,scores.opencritic.id,scores.appstore.score
3On3 Freestyle — Paquete De Personajes De Camila,EP1439-CUSA07069_00-CHAR580000000000,True,13,['PS4'],1,2021-06-23T12:00:00+03:00,2022-04-27T09:43:25+03:00,add_on,0,9.09,True,4695666,/region-es/game/4695666/3on3-freestyle-paquete-de-personajes-de-camila,https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP1439-CUSA07069_00-CHAR580000000000/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000,[],[],True,2022-05-11T22:59:00Z,30,"9,09 €","9,09 €","12,99 €",False,False,Digital version,PS+ game,Got it for free,Physical copy,PSN auto-sync,False,False,,,,,
3On3 Freestyle — Paquete De Personajes De Jack,EP1439-CUSA07069_00-CHAR520000000000,True,13,['PS4'],1,2021-03-24T14:00:00+03:00,2022-04-27T09:43:21+03:00,add_on,0,9.09,True,4569455,/region-es/game/4569455/3on3-freestyle-paquete-de-personajes-de-jack,https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP1439-CUSA07069_00-CHAR520000000000/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000,[],[],True,2022-05-11T22:59:00Z,30,"9,09 €","9,09 €","12,99 €",False,False,Digital version,PS+ game,Got it for free,Physical copy,PSN auto-sync,False,False,,,,,
Trails Of Cold Steel IV: Magical Girl Bundle,EP1063-CUSA20034_00-EDSENADDCONT0091,True,13,['PS4'],1,2020-10-27T12:00:00+03:00,2022-04-27T09:43:17+03:00,add_on,1,5.99,True,4233431,/region-es/game/4233431/trails-of-cold-steel-iv-magical-girl-bundle,https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP1063-CUSA20034_00-EDSENADDCONT0091/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000,[],[],True,2022-05-11T22:59:00Z,60,"5,99 €","5,99 €","14,99 €",False,False,Digital version,PS+ game,Got it for free,Physical copy,PSN auto-sync,False,False,,,,,
Hatsune Miku: Project Diva Future Tone Mega Mix Encore Pack 2,EP0177-CUSA06211_00-MDATA39CSFT0M007,True,13,['PS4'],1,2020-10-15T08:00:00+03:00,2022-04-27T09:43:14+03:00,add_on,2,4.99,True,4222899,/region-es/game/4222899/hatsune-miku-project-diva-future-tone-mega-mix-encore-pack-2,https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP0177-CUSA06211_00-MDATA39CSFT0M007/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000,[],[],False,2022-05-11T22:59:00Z,50,"4,99 €","4,99 €","9,99 €",False,False,Digital version,PS+ game,Got it for free,Physical copy,PSN auto-sync,False,False,,,,,
3On3 Freestyle — Paquete De Personajes Deacon,EP1439-CUSA07069_00-CHAR430000000000,True,13,['PS4'],1,2020-10-07T03:00:00+03:00,2022-04-27T09:43:13+03:00,add_on,0,9.09,False,4214888,/region-es/game/4214888/3on3-freestyle-paquete-de-personajes-deacon,https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP1439-CUSA07069_00-CHAR430000000000/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000,[],[],True,2022-05-11T22:59:00Z,30,"9,09 €","9,09 €","12,99 €",False,False,Digital version,PS+ game,Got it for free,Physical copy,PSN auto-sync,False,False,,,,,
3On3 Freestyle — Paquete De Personajes Mika,EP1439-CUSA07069_00-CHAR460000000000,True,13,['PS4'],1,2020-12-23T03:00:00+03:00,2022-04-27T09:43:12+03:00,add_on,0,9.09,False,4349594,/region-es/game/4349594/3on3-freestyle-paquete-de-personajes-mika,https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP1439-CUSA07069_00-CHAR460000000000/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000,[],[],True,2022-05-11T22:59:00Z,30,"9,09 €","9,09 €","12,99 €",False,False,Digital version,PS+ game,Got it for free,Physical copy,PSN auto-sync,False,False,,,,,
Trails Of Cold Steel IV: Swimsuit Bundle,EP1063-CUSA20034_00-EDSENADDCONT0090,True,13,['PS4'],1,2020-10-27T12:00:00+03:00,2022-04-27T09:43:11+03:00,add_on,1,5.99,True,4233410,/region-es/game/4233410/trails-of-cold-steel-iv-swimsuit-bundle,https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP1063-CUSA20034_00-EDSENADDCONT0090/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000,[],[],True,2022-05-11T22:59:00Z,60,"5,99 €","5,99 €","14,99 €",False,False,Digital version,PS+ game,Got it for free,Physical copy,PSN auto-sync,False,False,,,,,
Hatsune Miku: Project Diva Future Tone Mega Mix Encore Pack,EP0177-CUSA06211_00-MDATA39CSFT0M006,True,13,['PS4'],1,2020-07-15T03:00:00+03:00,2022-04-27T09:43:07+03:00,add_on,3,7.49,True,4101483,/region-es/game/4101483/hatsune-miku-project-diva-future-tone-mega-mix-encore-pack,https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP0177-CUSA06211_00-MDATA39CSFT0M006/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000,[],[],False,2022-05-11T22:59:00Z,50,"7,49 €","7,49 €","14,99 €",False,False,Digital version,PS+ game,Got it for free,Physical copy,PSN auto-sync,False,False,,,,,
Warriors Orochi 4: The Ultimate Upgrade Pack Deluxe Edition,EP4108-CUSA12641_00-MO3UPDX000000000,True,13,['PS4'],1,2020-03-06T03:00:00+03:00,2022-04-27T09:43:00+03:00,add_on,0,29.99,True,3454680,/region-es/game/3454680/warriors-orochi-4-the-ultimate-upgrade-pack-deluxe-edition,https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP4108-CUSA12641_00-MO3UPDX000000000/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000,[],[],True,2022-05-11T22:59:00Z,40,"29,99 €","29,99 €","49,99 €",False,False,Digital version,PS+ game,Got it for free,Physical copy,PSN auto-sync,False,False,,,,,
Warriors Orochi 4: The Ultimate Upgrade Pack,EP4108-CUSA12641_00-MO3DLC0SSET02000,True,13,['PS4'],1,2020-03-06T03:00:00+03:00,2022-04-27T09:43:00+03:00,add_on,1,23.99,True,3454681,/region-es/game/3454681/warriors-orochi-4-the-ultimate-upgrade-pack,https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP4108-CUSA12641_00-MO3DLC0SSET02000/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000,[],[],True,2022-05-11T22:59:00Z,40,"23,99 €","23,99 €","39,99 €",False,False,Digital version,PS+ game,Got it for free,Physical copy,PSN auto-sync,False,False,,,,,
