name;sku;active;region_id;platforms;platform_family;release_date;last_update_date;top_category;subscribers_count;float_price;is_lowest_price;id;url;cover;flags;retail_products;trophies.platinum;last_update.end_date;last_update.discount_percent;last_update.price;last_update.price_plus;last_update.price_old;user.subscribed;user.owns;user.ownership_types.1;user.ownership_types.2;user.ownership_types.3;user.ownership_types.4;user.ownership_types.5;user.liked;user.hid;scores.metacritic.score;scores.metacritic.id;scores.opencritic.score;scores.opencritic.id;scores.appstore.score
Moss: Libro II;EP1966-CUSA23253_00-5118322324853202;True;13;['PS4'];1;;2022-03-31T14:02:08+03:00;game;16;39.99;True;5154444;/region-es/game/5154444/moss-libro-ii;https://image.api.playstation.com/vulcan/ap/rnd/202203/2921/ObgKvrIbigHVt12NL993ixA5.png?w=440&thumb=false;[];[];False;;0;39,99 €;39,99 €;39,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Elden Ring PS4 & PS5;EP0700-PPSA04609_00-ELDENRING0000000;True;13;['PS4', 'PS5'];1;;2021-11-04T21:40:31+03:00;game;51;69.99;True;4928471;/region-es/game/4928471/elden-ring-ps4-ps5;https://image.api.playstation.com/vulcan/ap/rnd/202108/0410/0Jz6uJLxOK7JOMMfcfHFBi1D.png?w=440&thumb=false;[];[];True;;0;69,99 €;69,99 €;69,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Chrono Cross: The Radical Dreamers Edition;EP0082-CUSA23909_00-CHRONOCROSS00000;True;13;['PS4'];1;2022-04-07T03:00:00+03:00;2022-04-07T05:00:53+03:00;game;12;19.99;True;5198377;/region-es/game/5198377/chrono-cross-the-radical-dreamers-edition;https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP0082-CUSA23909_00-CHRONOCROSS00000/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000;[];[];False;;0;19,99 €;19,99 €;19,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Lego Star Wars: La Saga Skywalker PS4 & PS5;EP1018-PPSA01865_00-LEGOSWTSS0000000;True;13;['PS4', 'PS5'];1;;2022-01-20T19:46:16+03:00;game;13;59.99;True;5048054;/region-es/game/5048054/lego-star-wars-la-saga-skywalker-ps4-ps5;https://image.api.playstation.com/vulcan/ap/rnd/202112/2121/qrpfY71rsvMn6beyjgStw3cH.png?w=440&thumb=false;[];[];True;;0;59,99 €;59,99 €;59,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Ghostwire: Tokyo;EP1003-PPSA03397_00-GHOSTWIRETOKYOFG;True;13;['PS5'];1;;2022-03-25T04:59:18+03:00;game;13;69.99;True;5065097;/region-es/game/5065097/ghostwire-tokyo;https://image.api.playstation.com/vulcan/ap/rnd/202202/1522/n6qx9GWCjkivDuCDsHhBwzhF.png?w=440&thumb=false;[];[];True;;0;69,99 €;69,99 €;69,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Lego Star Wars: La Saga Skywalker Edición Deluxe PS4 And PS5;EP1018-PPSA01865_00-LSWTSSBNDLEDELUX;True;13;['PS4', 'PS5'];1;2022-04-05T03:00:00+03:00;2022-01-20T19:46:16+03:00;game;8;69.99;True;5048053;/region-es/game/5048053/lego-star-wars-la-saga-skywalker-edicion-deluxe-ps4-and-ps5;https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP1018-PPSA01865_00-LSWTSSBNDLEDELUX/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000;[];[];True;;0;69,99 €;69,99 €;69,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Horizon Forbidden West;EP9000-CUSA24705_00-FORBIDDENWESTPS4;True;13;['PS4'];1;2022-02-18T03:00:00+03:00;2021-09-02T20:05:13+03:00;game;65;69.99;True;4809624;/region-es/game/4809624/horizon-forbidden-west;https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP9000-CUSA24705_00-FORBIDDENWESTPS4/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000;[];[];True;;0;69,99 €;69,99 €;69,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Horizon Forbidden West;EP9000-PPSA01521_00-FORBIDDENWESTPS5;True;13;['PS4', 'PS5'];1;;2021-09-02T20:05:13+03:00;game;54;79.99;True;4809625;/region-es/game/4809625/horizon-forbidden-west;https://image.api.playstation.com/vulcan/ap/rnd/202107/3100/PXgLoiNPlkyAx90NKhFnu7wI.png?w=440&thumb=false;[];[];True;;0;79,99 €;79,99 €;79,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Marvel's Guardians Of The Galaxy Para PS4 Y PS5;EP0082-PPSA01750_00-DXM0000000000001;True;13;['PS4', 'PS5'];1;;2022-03-31T05:01:29+03:00;game;55;69.99;False;4672196;/region-es/game/4672196/marvel-s-guardians-of-the-galaxy-para-ps4-y-ps5;https://image.api.playstation.com/vulcan/ap/rnd/202106/0215/Pw9cWnyqkix3EoCOGqrN1cgN.png?w=440&thumb=false;[];[];True;;0;69,99 €;69,99 €;34,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Sifu;EP2566-PPSA03001_00-4693207696815642;True;13;['PS4', 'PS5'];1;;2021-08-25T23:00:18+03:00;game;53;39.99;True;4796132;/region-es/game/4796132/sifu;https://image.api.playstation.com/vulcan/img/rnd/202201/1616/THJbARAq2YiRVUv5abCQ8GYQ.png?w=440&thumb=false;[];[];True;;0;39,99 €;39,99 €;39,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Sekiro: Shadows Die Twice — Edición Juego Del Año;EP0002-CUSA13801_00-SEKIROGAME000001;True;13;['PS4'];1;2019-04-05T03:00:00+03:00;2022-04-14T05:04:56+03:00;game;175;69.99;False;2804857;/region-es/game/2804857/sekiro-shadows-die-twice-edicion-juego-del-ano;https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP0002-CUSA13801_00-SEKIROGAME000001/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000;[];[];True;;0;69,99 €;69,99 €;34,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;90.0;playstation-4/sekiro-shadows-die-twice;89.84347826086956;6630.0;
Sherlock Holmes Chapter One;EP5205-PPSA01978_00-SHCOFROGWARESUAK;True;13;['PS5'];1;;2022-03-30T05:04:14+03:00;game;6;29.69;True;4937751;/region-es/game/4937751/sherlock-holmes-chapter-one;https://image.api.playstation.com/vulcan/ap/rnd/202103/1109/726FulA9CICxQyT6kgu19XaX.png?w=440&thumb=false;[];[];True;2022-04-27T22:59:00Z;34;29,69 €;29,69 €;44,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Marvel's Spider-Man: Miles Morales PS4 & PS5;EP9000-PPSA01460_00-MARVELSSMMORALES;True;13;['PS4', 'PS5'];1;;2022-04-14T05:01:16+03:00;game;107;59.99;False;4230277;/region-es/game/4230277/marvel-s-spider-man-miles-morales-ps4-ps5;https://image.api.playstation.com/vulcan/ap/rnd/202008/1020/T45iRN1bhiWcJUzST6UFGBvO.png?w=440&thumb=false;[];[];True;;0;59,99 €;59,99 €;40,19 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Dying Light 2 Stay Human PS4&PS5;EP2911-PPSA02262_00-DL2GAME0000000EU;True;13;['PS4', 'PS5'];1;;2021-05-27T23:16:00+03:00;game;24;69.99;True;4654243;/region-es/game/4654243/dying-light-2-stay-human-ps4-ps5;https://image.api.playstation.com/vulcan/img/rnd/202106/2908/7aJhOMuJALdBPqZHVy3CgJsg.png?w=440&thumb=false;[];[];True;;0;69,99 €;69,99 €;69,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Alan Wake Remastered;EP1464-PPSA01925_00-AWREMASTERED0001;True;13;['PS4', 'PS5'];1;;2022-04-14T05:01:28+03:00;game;43;29.99;False;4820629;/region-es/game/4820629/alan-wake-remastered;https://image.api.playstation.com/vulcan/img/rnd/202109/2709/wMyl8RQ9Tvi99wjgPPEBGVyX.png?w=440&thumb=false;[];[];True;;0;29,99 €;29,99 €;22,49 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Kingdom Hearts III Re Mind;EP0082-CUSA12025_00-KHX30DLC00000003;True;13;['PS4'];1;2020-01-23T03:00:00+03:00;2021-11-30T11:18:58+03:00;add_on;68;29.99;False;3412317;/region-es/game/3412317/kingdom-hearts-iii-re-mind;https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP0082-CUSA12025_00-KHX30DLC00000003/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000;[];[];True;;0;29,99 €;29,99 €;20,09 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Ghost Of Tsushima Director's Cut;EP9000-CUSA13323_00-GHOSTDIRECTORPS4;True;13;['PS4'];1;2021-08-20T03:00:00+03:00;2022-04-14T05:05:51+03:00;game;78;69.99;False;4715966;/region-es/game/4715966/ghost-of-tsushima-director-s-cut;https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP9000-CUSA13323_00-GHOSTDIRECTORPS4/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000;[];[{'id': 141600, 'affiliate_code': 'amazon_es', 'affiliate_name': 'Amazon ES', 'formatted_price': '53,25\xa0€', 'price_usd': 56.20823965293391, 'discount_percent': 23}];True;;0;69,99 €;69,99 €;49,69 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
Dark Souls: Remastered;EP0700-CUSA08495_00-DARKSOULSHD00000;True;13;['PS4'];1;2018-05-25T03:00:00+03:00;2022-01-08T09:14:30+03:00;game;85;39.99;False;2348187;/region-es/game/2348187/dark-souls-remastered;https://image.api.playstation.com/cdn/EP0700/CUSA08495_00/COYF3JBI46ftkG7tIdTjQg0v9aZ2378N.png?w=440&thumb=false;[];[{'id': 58007, 'affiliate_code': 'amazon_es', 'affiliate_name': 'Amazon ES', 'formatted_price': '22,99\xa0€', 'price_usd': 24.267181776919262, 'discount_percent': 42}];True;;0;39,99 €;39,99 €;19,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;84.0;playstation-4/dark-souls-remastered;84.79452054794521;5508.0;
Lost Judgment — Episodio El Expediente De Kaito;EP0177-PPSA03775_00-KAITOFILES000001;True;13;['PS4', 'PS5'];1;2022-03-28T03:00:00+03:00;2022-03-28T05:03:47+03:00;add_on;5;29.99;True;5148826;/region-es/game/5148826/lost-judgment-episodio-el-expediente-de-kaito;https://store.playstation.com/store/api/chihiro/00_09_000/container/ES/es/19/EP0177-PPSA03775_00-KAITOFILES000001/image?w=320&h=320&bg_color=000000&opacity=100&_version=00_09_000;[];[];True;;0;29,99 €;29,99 €;29,99 €;False;False;Digital version;PS+ game;Got it for free;Physical copy;PSN auto-sync;False;False;;;;;
